1: 4 1; 10 1; 6 1; 2 1; 3 1; 5 1; 7 1
2: 4 1; 10 1; 6 1; 2 6; 3 1; 5 3; 7 5
3: 5 2; 8 3; 4 1; 9 2; 1 4; 7 3; 6 5
4: 3 2; 12 5; 6 1; 4 3; 8 4; 2 1; 10 2
5: 7 1; 3 1; 9 2; 2 3; 6 4; 8 5; 1 2
6: 2 3; 7 2; 3 4; 5 1; 6 5; 4 3; 8 2
7: 1 1; 5 4; 7 2; 3 3; 8 5; 4 2; 6 1
8: 3 1; 6 2; 4 4; 8 1; 5 3; 2 5; 7 2
9: 2 2; 5 1; 3 3; 7 4; 1 5; 6 2; 4 1
10: 6 5; 4 3; 2 2; 5 4; 3 1; 7 1; 1 3
11: 4 3; 9 2; 2 5; 7 4; 6 3; 8 1; 3 2
12: 5 1; 7 3; 4 2; 1 4; 8 5; 6 1; 9 2
13: 2 4; 8 2; 3 5; 7 1; 5 3; 4 2; 6 4
14: 6 2; 1 3; 7 5; 5 1; 4 4; 2 2; 8 3
15: 3 1; 6 4; 4 2; 2 3; 5 5; 8 2; 7 4
16: 7 3; 5 2; 4 1; 6 5; 2 4; 3 2; 8 1
17: 1 2; 4 3; 7 5; 6 1; 5 2; 3 4; 8 3
18: 3 4; 8 2; 2 1; 6 5; 7 3; 4 2; 5 1
19: 4 5; 6 3; 2 2; 7 1; 5 4; 3 3; 8 2
20: 8 1; 4 2; 5 3; 7 4; 6 5; 2 3; 1 2
21: 7 3; 3 2; 6 4; 2 1; 5 3; 8 5; 4 1
22: 1 1; 4 3; 7 5; 5 2; 3 4; 6 1; 8 2
23: 3 2; 5 4; 6 3; 4 1; 7 5; 2 2; 8 1
24: 2 1; 7 3; 5 5; 6 2; 4 4; 3 1; 8 2
25: 4 5; 6 3; 7 2; 5 1; 3 4; 2 2; 8 3
26: 8 4; 3 2; 6 1; 5 3; 4 5; 7 1; 2 4
27: 5 3; 2 1; 7 4; 3 2; 6 5; 4 3; 8 2
28: 4 2; 6 1; 2 5; 7 3; 5 4; 3 1; 8 3
29: 3 5; 8 2; 2 1; 7 4; 5 3; 4 2; 6 1
30: 7 1; 5 2; 3 4; 6 3; 4 5; 8 2; 2 1
31: 6 5; 4 3; 3 2; 2 1; 8 4; 5 1; 7 3
32: 8 3; 5 2; 7 1; 4 4; 3 5; 2 3; 6 1
33: 2 1; 6 4; 3 3; 4 5; 7 2; 5 1; 8 3
34: 5 2; 4 1; 8 3; 2 5; 7 4; 3 1; 6 2
35: 4 3; 7 2; 3 1; 6 5; 8 4; 2 2; 5 1
36: 3 2; 8 5; 4 1; 2 3; 6 4; 7 1; 5 2
37: 7 5; 2 4; 5 3; 3 1; 8 2; 4 1; 6 3
38: 2 2; 6 3; 8 4; 5 1; 7 2; 3 5; 4 1
39: 3 1; 5 2; 7 4; 2 5; 8 3; 4 2; 6 1
40: 6 1; 8 2; 4 3; 3 4; 7 5; 2 2; 5 1
41: 4 5; 6 2; 3 3; 8 1; 2 4; 5 3; 7 2
42: 5 2; 3 1; 7 3; 8 4; 6 2; 4 5; 2 1
43: 3 5; 2 4; 8 1; 5 3; 7 2; 6 1; 4 2
44: 6 3; 7 5; 3 2; 4 1; 2 4; 5 1; 8 2
45: 8 2; 4 3; 2 1; 6 5; 3 4; 5 2; 7 1
46: 5 1; 6 4; 7 3; 3 2; 2 5; 8 1; 4 2
47: 2 3; 8 4; 4 2; 3 1; 6 5; 7 2; 5 1
48: 7 5; 3 2; 5 1; 8 3; 6 4; 2 1; 4 2
49: 6 2; 2 3; 3 4; 5 1; 8 5; 4 2; 7 1
50: 8 3; 5 1; 6 2; 2 4; 3 5; 7 1; 4 2
51: 3 4; 7 2; 4 3; 2 1; 5 5; 6 1; 8 2
52: 5 1; 3 3; 7 4; 6 5; 2 2; 8 3; 4 1
53: 6 4; 2 1; 3 2; 5 3; 7 5; 4 2; 8 3
54: 8 5; 4 1; 7 2; 5 3; 2 4; 6 1; 3 2
55: 5 1; 6 4; 3 3; 7 2; 2 5; 8 1; 4 2
56: 2 3; 8 4; 4 2; 3 1; 6 5; 7 2; 5 1
57: 7 5; 3 2; 5 1; 8 3; 6 4; 2 1; 4 2
58: 6 2; 2 3; 3 4; 5 1; 8 5; 4 2; 7 1
59: 8 3; 5 1; 6 2; 2 4; 3 5; 7 1; 4 2
60: 3 4; 7 2; 4 3; 2 1; 5 5; 6 1; 8 2
61: 5 1; 3 3; 7 4; 6 5; 2 2; 8 3; 4 1
62: 6 4; 2 1; 3 2; 5 3; 7 5; 4 2; 8 3
63: 8 5; 4 1; 7 2; 5 3; 2 4; 6 1; 3 2
64: 5 1; 6 4; 3 3; 7 2; 2 5; 8 1; 4 2
65: 2 3; 8 4; 4 2; 3 1; 6 5; 7 2; 5 1
66: 7 5; 3 2; 5 1; 8 3; 6 4; 2 1; 4 2
67: 6 2; 2 3; 3 4; 5 1; 8 5; 4 2; 7 1
68: 8 3; 5 1; 6 2; 2 4; 3 5; 7 1; 4 2
69: 3 4; 7 2; 4 3; 2 1; 5 5; 6 1; 8 2
70: 5 1; 3 3; 7 4; 6 5; 2 2; 8 3; 4 1
71: 6 4; 2 1; 3 2; 5 3; 7 5; 4 2; 8 3
72: 8 5; 4 1; 7 2; 5 3; 2 4; 6 1; 3 2
73: 5 1; 6 4; 3 3; 7 2; 2 5; 8 1; 4 2
74: 2 3; 8 4; 4 2; 3 1; 6 5; 7 2; 5 1
75: 7 5; 3 2; 5 1; 8 3; 6 4; 2 1; 4 2
76: 6 2; 2 3; 3 4; 5 1; 8 5; 4 2; 7 1
77: 8 3; 5 1; 6 2; 2 4; 3 5; 7 1; 4 2
78: 3 4; 7 2; 4 3; 2 1; 5 5; 6 1; 8 2
79: 5 1; 3 3; 7 4; 6 5; 2 2; 8 3; 4 1
80: 6 4; 2 1; 3 2; 5 3; 7 5; 4 2; 8 3
81: 8 5; 4 1; 7 2; 5 3; 2 4; 6 1; 3 2
82: 5 1; 6 4; 3 3; 7 2; 2 5; 8 1; 4 2
83: 2 3; 8 4; 4 2; 3 1; 6 5; 7 2; 5 1
84: 7 5; 3 2; 5 1; 8 3; 6 4; 2 1; 4 2
85: 6 2; 2 3; 3 4; 5 1; 8 5; 4 2; 7 1
86: 8 3; 5 1; 6 2; 2 4; 3 5; 7 1; 4 2
87: 3 4; 7 2; 4 3; 2 1; 5 5; 6 1; 8 2
88: 5 1; 3 3; 7 4; 6 5; 2 2; 8 3; 4 1
89: 6 4; 2 1; 3 2; 5 3; 7 5; 4 2; 8 3
90: 8 5; 4 1; 7 2; 5 3; 2 4; 6 1; 3 2
91: 5 1; 6 4; 3 3; 7 2; 2 5; 8 1; 4 2
92: 2 3; 8 4; 4 2; 3 1; 6 5; 7 2; 5 1
93: 7 5; 3 2; 5 1; 8 3; 6 4; 2 1; 4 2
94: 6 2; 2 3; 3 4; 5 1; 8 5; 4 2; 7 1
95: 8 3; 5 1; 6 2; 2 4; 3 5; 7 1; 4 2
96: 3 4; 7 2; 4 3; 2 1; 5 5; 6 1; 8 2
97: 5 1; 3 3; 7 4; 6 5; 2 2; 8 3; 4 1
98: 6 4; 2 1; 3 2; 5 3; 7 5; 4 2; 8 3
99: 8 5; 4 1; 7 2; 5 3; 2 4; 6 1; 3 2
100: 5 1; 6 4; 3 3; 7 2; 2 5; 8 1; 4 2
101: 2 3; 8 4; 4 2; 3 1; 6 5; 7 2; 5 1
102: 7 5; 3 2; 5 1; 8 3; 6 4; 2 1; 4 2
103: 6 2; 2 3; 3 4; 5 1; 8 5; 4 2; 7 1
104: 8 3; 5 1; 6 2; 2 4; 3 5; 7 1; 4 2
105: 3 4; 7 2; 4 3; 2 1; 5 5; 6 1; 8 2
106: 5 1; 3 3; 7 4; 6 5; 2 2; 8 3; 4 1
107: 6 4; 2 1; 3 2; 5 3; 7 5; 4 2; 8 3
108: 8 5; 4 1; 7 2; 5 3; 2 4; 6 1; 3 2
109: 5 1; 6 4; 3 3; 7 2; 2 5; 8 1; 4 2
110: 2 3; 8 4; 4 2; 3 1; 6 5; 7 2; 5 1
111: 7 5; 3 2; 5 1; 8 3; 6 4; 2 1; 4 2
112: 6 2; 2 3; 3 4; 5 1; 8 5; 4 2; 7 1
113: 8 3; 5 1; 6 2; 2 4; 3 5; 7 1; 4 2
114: 3 4; 7 2; 4 3; 2 1; 5 5; 6 1; 8 2
115: 5 1; 3 3; 7 4; 6 5; 2 2; 8 3; 4 1
116: 6 4; 2 1; 3 2; 5 3; 7 5; 4 2; 8 3
117: 8 5; 4 1; 7 2; 5 3; 2 4; 6 1; 3 2
118: 5 1; 6 4; 3 3; 7 2; 2 5; 8 1; 4 2
119: 2 3; 8 4; 4 2; 3 1; 6 5; 7 2; 5 1
120: 7 5; 3 2; 5 1; 8 3; 6 4; 2 1; 4 2
121: 6 2; 2 3; 3 4; 5 1; 8 5; 4 2; 7 1
122: 8 3; 5 1; 6 2; 2 4; 3 5; 7 1; 4 2
123: 3 4; 7 2; 4 3; 2 1; 5 5; 6 1; 8 2
124: 5 1; 3 3; 7 4; 6 5; 2 2; 8 3; 4 1
125: 6 4; 2 1; 3 2; 5 3; 7 5; 4 2; 8 3
126: 8 5; 4 1; 7 2; 5 3; 2 4; 6 1; 3 2
127: 5 1; 6 4; 3 3; 7 2; 2 5; 8 1; 4 2
128: 2 3; 8 4; 4 2; 3 1; 6 5; 7 2; 5 1
129: 7 5; 3 2; 5 1; 8 3; 6 4; 2 1; 4 2
130: 6 2; 2 3; 3 4; 5 1; 8 5; 4 2; 7 1
131: 8 3; 5 1; 6 2; 2 4; 3 5; 7 1; 4 2
132: 3 4; 7 2; 4 3; 2 1; 5 5; 6 1; 8 2
133: 5 1; 3 3; 7 4; 6 5; 2 2; 8 3; 4 1
134: 6 4; 2 1; 3 2; 5 3; 7 5; 4 2; 8 3
135: 8 5; 4 1; 7 2; 5 3; 2 4; 6 1; 3 2
136: 5 1; 6 4; 3 3; 7 2; 2 5; 8 1; 4 2
137: 2 3; 8 4; 4 2; 3 1; 6 5; 7 2; 5 1
138: 7 5; 3 2; 5 1; 8 3; 6 4; 2 1; 4 2
139: 6 2; 2 3; 3 4; 5 1; 8 5; 4 2; 7 1
140: 8 3; 5 1; 6 2; 2 4; 3 5; 7 1; 4 2
